Location,Total_Land_Area_acres,Number_of_Cows,Farm_Size,Date,Product_ID,Product_Name,Brand,Quantity_liters&kg,Price_per_Unit,Total_Value,Shelf_Life_days,Storage_Condition,Production_Date,Expiration_Date,Quantity_Sold_liters&kg,Price_per_Unit_sold,Approx_Total Revenue_INR,Customer_Location,Sales_Channel,Quantity_in_Stock_liters&kg,Minimum_Stock_Threshold_liters&kg,Reorder_Quantity_liters&kg,Stock_check,Deliver_expire_product
Kerala,883.5,84,Small,11/25/2021,2,Butter,Warana,946.41,77.07,72939.82,30,Refrigerated,10/4/2021,11/3/2021,561,79.03,44335.83,Telangana,Retail,385,71.32,126.31,SAFE,NO
Haryana,228.45,47,Large,11/25/2020,7,Lassi,Mother dairy,656.86,84.64,55596.63,18,Refrigerated,10/7/2020,10/25/2020,429,84.0,36036.0,Telangana,Online,227,76.79,22.95,SAFE,NO
Delhi,249.47,67,Medium,12/16/2021,8,Buttermilk,,536.09,86.84,46554.06,13,Refrigerated,11/4/2021,11/17/2021,316,86.3,27270.8,Uttar Pradesh,Retail,220,32.68,161.74,SAFE,NO
Madhya Pradesh,323.41,72,Medium,4/8/2022,4,Yogurt,Palle2patnam,398.22,34.32,13666.91,24,Refrigerated,3/26/2022,19/04/2022,154,31.58,4863.32,Kerala,Online,244,37.26,162.23,SAFE,YES
Telangana,42.54,29,Large,11/20/2022,6,Curd,,440.06,11.57,5091.49,5,Refrigerated,11/12/2022,11/17/2022,391,13.06,5106.46,Chandigarh,Wholesale,49,19.07,79.27,SAFE,NO
Jharkhand,267.87,61,Large,3/27/2019,4,Yogurt,Dodla Dairy,854.92,59.32,50713.85,24,Frozen,1/27/2019,2/20/2019,108,55.44,5987.52,Maharashtra,Retail,746,52.16,34.25,SAFE,NO
West Bengal,911.47,37,Small,4/5/2022,2,Butter,Mother Dairy,545.57,69.3,37808.0,35,Frozen,3/1/2022,4/5/2022,74,66.89,4949.86,Gujarat,Online,471,86.26,58.48,SAFE,YES
Kerala,651.27,66,Medium,9/27/2021,4,Yogurt,Palle2patnam,820.95,94.53,77604.4,26,Frozen,9/23/2021,10/19/2021,819,95.5,78214.5,Maharashtra,Wholesale,1,54.43,63.82,IN DANGER,YES
Jharkhand,51.88,48,Medium,11/11/2021,10,Ghee,Amul,86.38,17.03,1471.05,66,AMBIENT,9/25/2021,11/30/2021,58,19.96,1157.68,Karnataka,Retail,28,46.15,134.94,IN DANGER,YES
Kerala,878.31,88,Medium,4/16/2021,1,Milk,Raj,416.52,56.06,23350.11,28,Tetra Pack,4/15/2021,5/13/2021,276,53.4,14738.4,Telangana,Wholesale,140,59.63,95.02,SAFE,YES
Madhya Pradesh,213.84,32,Small,12/5/2021,9,Paneer,Amul,459.36,53.1,24392.02,13,Refrigerated,11/12/2021,11/25/2021,277,52.63,14578.51,Rajasthan,Online,182,58.12,31.78,SAFE,NO
West Bengal,875.3,100,Large,10/23/2021,5,Ice Cream,Palle2patnam,615.01,48.94,30098.59,25,Frozen,9/6/2021,10/1/2021,399,52.89,21103.11,Chandigarh,Retail,216,83.37,161.06,SAFE,NO
Chandigarh,510.02,98,Medium,8/27/2022,9,Paneer,,723.37,95.72,69240.98,10,Refrigerated,8/11/2022,8/21/2022,177,96.81,17135.37,Rajasthan,Online,546,69.69,59.18,SAFE,NO
Jharkhand,526.08,61,Large,5/14/2021,8,Buttermilk,Raj,727.6,31.23,22722.95,13,Refrigerated,4/1/2021,4/14/2021,309,34.93,10793.37,Kerala,Retail,418,87.61,26.09,SAFE,NO
Telangana,78.43,27,Small,1/13/2021,8,Buttermilk,Sudha,842.56,78.0,65719.68,11,Refrigerated,12/10/2020,12/21/2020,211,75.4,15909.4,Rajasthan,Retail,631,21.66,100.32,SAFE,NO
Delhi,592.06,98,Large,6/10/2020,8,Buttermilk,Raj,512.5,56.48,28946.0,8,Refrigerated,4/12/2020,4/20/2020,504,60.63,30557.52,Uttar Pradesh,Wholesale,8,95.1,134.83,IN DANGER,NO
Bihar,520.43,30,Small,1/24/2022,9,Paneer,,952.14,46.38,44160.25,10,Refrigerated,1/3/2022,1/13/2022,926,48.37,44790.62,Rajasthan,Online,26,13.13,95.47,SAFE,NO
Karnataka,881.28,78,Medium,11/12/2020,10,Ghee,Sudha,463.97,59.24,27485.58,92,AMBIENT,9/14/2020,12/15/2020,1,63.79,63.79,Chandigarh,Wholesale,462,62.2,70.91,SAFE,YES
Haryana,162.57,97,Medium,1/19/2019,8,Buttermilk,Raj,503.23,30.98,15590.07,9,Refrigerated,1/3/2019,1/12/2019,302,34.76,10497.52,Delhi,Retail,201,29.51,192.1,SAFE,NO
Madhya Pradesh,780.33,84,Large,10/27/2019,4,Yogurt, amul,272.71,31.07,8473.1,26,Refrigerated,10/2/2019,10/28/2019,231,28.61,6608.91,Bihar,Wholesale,41,10.7,62.85,SAFE,YES
Telangana,147.81,90,Small,4/26/2020,6,Curd,Amul ,905.36,33.85,30646.44,5,refrigerated,3/29/2020,4/3/2020,640,30.88,19763.2,Delhi,Retail,265,82.32,186.66,SAFE,NO
Haryana,993.15,25,Small,4/11/2022,9,Paneer,Raj,20.77,72.49,1505.62,11,Refrigerated,3/8/2022,3/19/2022,13,75.31,979.03,Gujarat,Retail,7,42.7,188.31,IN DANGER,NO
Kerala,769.71,96,Large,1/20/2020,6,Curd,Sudha,796.65,34.51,27492.39,5,Refrigerated,2019/12/29,1/3/2020,7,32.61,228.27,Chandigarh,Retail,789,96.8,114.5,SAFE,NO
Uttar Pradesh,249.83,87,Medium,1/22/2020,1,Milk,Mother Dairy,210.11,33.07,6948.34,23,Tetra Pack,12/1/2019,24/12/2019,32,32.77,1048.64,Rajasthan,Retail,178,96.49,56.35,SAFE,NO
Maharashtra,317.81,31,Large,2/24/2021,5,Ice Cream,Amul,233.8,74.65,17453.17,21,Frozen,1/27/2021,2/17/2021,167,76.96,12852.32,Chandigarh,Wholesale,66,74.37,134.33,IN DANGER,NO
Kerala,840.71,69,Large,9/21/2021,1,Milk,Sudha,785.16,78.61,61721.43,2,Polythene Packet,9/6/2021,9/8/2021,90,74.1,6669.0,Telangana,Wholesale,695,60.77,42.52,SAFE,NO
Rajasthan,392.26,59,Large,1/8/2021,8,Buttermilk,Raj,649.7,83.26,54094.02,13,Refrigerator,11/12/2020,11/25/2020,563,80.35,45237.05,Madhya Pradesh,Retail,86,22.78,184.88,SAFE,NO
Uttar Pradesh,480.49,88,Small,9/22/2020,5,Ice Cream,Amul,790.85,48.88,38656.75,28,Frozen,2020/09/19,17-10-2020,722,50.89,36742.58,Haryana,Retail,68,67.3,47.61,SAFE,YES
Bihar,258.0,58,Large,4/20/2020,7,Lassi,Amul,913.82,73.51,67174.91,16,Refrigerated,2/22/2020,3/9/2020,323,71.89,23220.47,Gujarat,Wholesale,590,94.16,142.36,SAFE,NO
Kerala,203.31,25,Small,9/13/2020,2,Butter,Amul,435.51,38.94,16958.76,35,,8/24/2020,9/28/2020,21,41.71,875.91,Bihar,Retail,414,49.62,115.79,SAFE,YES
Maharashtra,802.17,42,Medium,8/6/2019,5,Ice Cream,Palle2patnam,232.16,96.98,22514.88,21,Frozen,6/25/2019,7/16/2019,196,92.9,18208.4,Delhi,Online,36,10.32,111.56,SAFE,NO
Madhya Pradesh,318.91,78,Small,5/22/2020,1,Milk,Sudha,495.25,96.69,47885.72,21,Tetra Pack,4/21/2020,12/05/2020,411,95.54,39266.94,Tamil Nadu,Wholesale,84,74.82,189.27,SAFE,NO
Chandigarh,71.14,19,Small,9/14/2019,9,Paneer,Raj,430.59,38.41,16538.96,8,Refrigerated,2019/07/19,7/27/2019,250,43.39,10847.5,Maharashtra,Wholesale,180,34.15,23.9,SAFE,NO
Madhya Pradesh,645.66,77,Large,4/12/2019,7,Lassi,Sudha,326.85,74.26,24271.88,13,Refridgerated,3/28/2019,4/10/2019,310,79.11,24524.1,Haryana,Online,16,90.97,59.27,IN DANGER,NO
Delhi,71.14,84,Large,7/1/2022,1,Milk,Amul,949.82,83.9,79689.9,24,Tetra Pack,5/19/2022,6/12/2022,622,81.86,50916.92,Bihar,Online,327,41.13,156.97,SAFE,NO
Rajasthan,66.93,49,Large,4/16/2020,10,Ghee,Raj,508.72,13.93,7086.47,131,Ambient,"March 24, 2020",8/2/2020,237,12.61,2988.57,Haryana,Wholesale,271,37.34,128.2,SAFE,YES
  Karnataka  ,998.99,31,Medium,7/4/2022,4,Yogurt,Mother Dairy,669.74,40.05,26823.09,24,Frozen,5/7/2022,5/31/2022,255,40.1,10225.5,West Bengal,Retail,414,33.29,173.94,SAFE,NO
Madhya Pradesh,573.12,73,Medium,12/23/2022,1,Milk,,306.48,97.59,29909.38,2,Polythene Packet,10/31/2022,11/2/2022,29,93.23,2703.67,West Bengal,Retail,277,44.21,107.88,SAFE,NO
Bihar,864.12,56,Medium,11/25/2022,10,Ghee,Sudha,730.2,1287.0457630845733,44951.11,141,Ambient,18/11/2022,4/8/2023,11,64.27,706.97,Maharashtra,Retail,719,67.78,105.62,SAFE,YES
Chandigarh,464.68,47,Large,7/23/2022,7,Lassi,SUDHA,487.46,58.35,28443.29,17,Refrigerated,5/26/2022,6/12/2022,414,61.26,25361.64,Jharkhand,Online,73,42.39,149.78,SAFE,NO
  Karnataka  ,632.87,25,Medium,3/11/2021,4,Yogurt,Mother Dairy,-692.74,68.86,47702.08,21,Refrigerated,2/24/2021,3/17/2021,22,68.86,1514.92,Kerala,Wholesale,670,63.08,119.33,SAFE,YES
Maharashtra,118.73,36,Small,11/11/2020,6,Curd,Sudha,66.32,72.19,4787.64,5,Refrigerated,9/24/2020,9/29/2020,65,73.59,4783.35,Chandigarh,Retail,1,90.3,72.17,IN DANGER,NO
Delhi,40.63,68,Small,3/11/2020,4,Yogurt,Palle2patnam,446.4,88.47,39493.01,22,Frozen,27/01/2020,2/18/2020,269,85.06,22881.14,Chandigarh,Wholesale,177,97.73,100.03,SAFE,NO
Chandigarh,297.44,76,Small,6/7/2021,7,Lassi,Sudha,184.92,47.36,8757.81,16,Refrigerated,4/11/2021,4/27/2021,153,48.72,7454.16,Gujarat,Online,31,15.6,180.52,SAFE,NO
Jharkhand,327.68,42,Medium,7/6/2021,1,Milk,Raj,754.71,47.13,35569.48,1,Polythene Packet,6/11/2021,6/12/2021,462,49.07,22670.34,Telangana,Online,292,77.78,96.38,SAFE,NO
Uttar Pradesh,704.9,100,Large,11/8/2021,9,Paneer,Mother Dairy,410.84,65.14,26762.12,11,Refrigerated,18-10-2021,10/29/2021,226,62.44,14111.44,Chandigarh,Wholesale,184,77.65,107.81,SAFE,NO
Telangana,318.12,28,Small,3/26/2019,3,Cheese,Amul,115.3,10.41,1200.27,43,Refrigerated,2/22/2019,4/6/2019,82,6.77,555.14,Chandigarh,Retail,33,30.32,176.3,SAFE,YES
Maharashtra,298.06,12,Medium,4/14/2020,2,Butter,,849.92,38.59,32798.41,37,Refrigerated,3/12/2020,4/18/2020,256,40.09,10263.04,Tamil Nadu,Online,593,36.62,85.87,SAFE,YES
Rajasthan,500.67,19,Medium,9/12/2019,7,Lassi,Raj,814.38,40.88,33291.85,15,Refrigerated,7/14/2019,7/29/2019,481,40.55,19504.55,Chandigarh,Retail,333,65.01,53.95,SAFE,NO
Haryana,527.23,67,Small,3/7/2020,6,Curd,,499.31,16.06,8018.92,6,Refrigerated,3/5/2020,3/11/2020,15,15.67,235.05,Chandigarh,Retail,484,81.45,100.71,SAFE,YES
West Bengal,922.3,83,Large,1/4/2020,6,Curd,Amul,194.04,73.31,14225.07,6,Refrigerated,11/15/2019,11/21/2019,44,72.28,3180.32,Rajasthan,Wholesale,150,84.29,112.44,SAFE,NO
Maharashtra,197.23,30,Small,7/4/2022,9,Paneer,Mother Dairy,300.62,38.78,11658.04,12,Refrigerated,6/23/2022,7/5/2022,60,35.63,2137.8,West Bengal,Online,240,50.29,94.68,SAFE,YES
Gujarat,443.51,32,Medium,6/21/2020,10,Ghee,Sudha,234.57,68.52,16072.74,117,,5/28/2020,9/22/2020,112,64.53,7227.36,Uttar Pradesh,Wholesale,122,12.8,60.75,SAFE,YES
  Uttar Pradesh  ,142.89,86,Medium,7/18/2022,5,Ice Cream,Palle2patnam,204.1,93.05,18991.51,23,Frozen,6/14/2022,7/7/2022,98,94.33,9244.34,Madhya Pradesh,Wholesale,106,29.77,25.36,SAFE,NO
Madhya Pradesh,535.39,60,Large,7/17/2021,8,Buttermilk,Amul,31.09,26.77,832.28,13,Refrigerated,7/13/2021,26/07/2021,30,31.06,931.8,Haryana,Wholesale,1,26.46,161.3,IN DANGER,YES
Chandigarh,677.91,91,Small,2/15/2019,4,Yogurt,Dodla Dairy,370.74,30.34,11248.25,24,Refrigerated,1/11/2019,2/4/2019,121,26.77,3239.17,Chandigarh,Wholesale,249,18.33,101.73,SAFE,NO
Bihar,696.15,63,Large,3/2/2021,10,Ghee,Sudha,442.2,48.8,21579.36,66,Ambient,1/4/2021,3/11/2021,301,47.99,14444.99,Karnataka,Retail,141,66.86,150.0,SAFE,YES
Uttar Pradesh,555.53,16,Large,8/6/2020,10,Ghee,Mother Dairy,187.79,15.19,2852.53,85,Ambiant,7/12/2020,10/5/2020,8,17.12,136.96,Gujarat,Retail,179,84.5,106.45,SAFE,YES
Gujarat,865.05,70,Large,7/24/2020,10,Ghee,Raj,270.21,96.31,26023.93,81,,7/15/2020,10/4/2020,217,91.62,19881.54,Madhya Pradesh,Retail,53,69.98,183.24,IN DANGER,YES
Haryana,972.97,70,Large,10/28/2020,9,Paneer,Mother Dairy,788.45,19.2,15138.24,7,Refrigerated,2020/08/30,9/6/2020,134,23.81,3190.54,West Bengal,Retail,654,92.11,119.48,SAFE,NO
Jharkhand,209.76,10,Small,6/25/2019,7,Lassi,Mother Dairy,456.81,81.7,37321.38,13,Refrigerated,6/1/2019,6/14/2019,117,79.79,9335.43,Telangana,Retail,339,58.28,35.9,SAFE,NO
Gujarat,531.67,66,Small,10/25/2020,7,Lassi,Raj,594.21,66.31,39402.07,17,Refrigerated,9/28/2020,10/15/2020,136,62.03,8436.08,Maharashtra,Online,458,69.8,28.27,SAFE,NO
Gujarat,441.18,22,Small,8/16/2020,7,Lassi, amul,665.07,31.25,20783.44,18,Refrigerated,6/21/2020,7/9/2020,44,35.03,1541.32,Delhi,Online,621,12.82,108.62,SAFE,NO
Jharkhand,703.32,81,Medium,9/13/2020,3,Cheese,Britannia Industries,724.92,40.48,29344.76,46,Frozen,9/1/2020,10/17/2020,695,44.37,30837.15,Delhi,Online,29,98.36,154.86,IN DANGER,YES
Tamil Nadu,235.32,10,Large,9/26/2020,9,Paneer,Raj,829.83,32.64,27085.65,8,Refrigerated,9/6/2020,9/14/2020,651,29.6,19269.6,Maharashtra,Online,178,37.02,52.82,SAFE,NO
Gujarat,636.91,16,Small,10/11/2022,2,Butter,Parag Milk Foods,436.35,98.08,42797.21,26,Frozen,9/23/2022,19/10/2022,133,100.43,13357.19,Delhi,Retail,303,82.62,193.98,SAFE,YES
Karnataka,313.91,62,Small,11/8/2020,2,Butter,MOTHER DAIRY,199.89,37.8,7555.84,29,Frozen,10/7/2020,11/5/2020,193,33.52,6469.36,Haryana,Retail,6,36.83,67.96,IN DANGER,NO
Rajasthan,340.18,90,Medium,3/20/2021,3,Cheese,Britannia Industries,159.33,77.72,12383.13,81,Frozen,06-03-2021,5/26/2021,144,82.38,11862.72,West Bengal,Online,15,56.54,76.45,IN DANGER,YES
Chandigarh,542.09,46,Medium,8/5/2020,8,Buttermilk,Amul ,103.55,81.44,8433.11,10,Refridgerated,8/4/2020,8/14/2020,17,78.16,1328.72,Jharkhand,Wholesale,86,64.89,151.64,SAFE,YES
Jharkhand,139.05,61,Small,2/26/2021,10,Ghee,Raj,938.27,68.21,63999.4,109,AMBIENT,2/25/2021,6/14/2021,419,64.82,27159.58,Delhi,Online,519,67.97,150.6,SAFE,YES
Kerala,40.71,72,Small,5/22/2022,1,Milk,amul,605.73,89.78,54382.44,1,Polythene Packet,3/23/2022,24-03-2022,492,94.68,46582.56,West Bengal,Wholesale,113,51.66,148.66,SAFE,NO
Jharkhand,712.58,89,Small,6/23/2022,3,Cheese,Britannia Industries,292.97,26.38,7728.55,82,Frozen,5/21/2022,8/11/2022,132,23.63,3119.16,Delhi,Retail,160,65.82,197.4,SAFE,YES
Tamil Nadu,106.77,36,Medium,1/28/2020,4,Yogurt,Dodla Dairy,968.17,35.61,34476.53,25,Frozen,1/20/2020,2/14/2020,842,37.29,31398.18,Maharashtra,Online,126,83.32,42.57,SAFE,YES
Maharashtra,714.59,46,Small,3/27/2022,1,Milk,Mother Dairy,912.1,95.77,87351.82,2,Polythene Packet,2/22/2022,2/24/2022,148,94.95,14052.6,Delhi,Online,764,47.65,105.42,SAFE,NO
Maharashtra,284.93,75,Small,10/22/2019,9,Paneer,Raj,739.64,19.47,14400.79,14,Refrigerated,10/6/2019,10/20/2019,239,15.74,3761.86,Telangana,Online,500,70.71,112.03,SAFE,NO
Delhi,947.39,96,Large,2/20/2021,4,Yogurt,Palle2patnam,820.1,51.68,42382.77,24,FROZEN,12/25/2020,1/18/2021,385,50.05,19269.25,Bihar,Retail,435,62.57,108.02,SAFE,NO
West Bengal,285.95,20,Large,7/17/2019,7,Lassi,Amul,773.61,67.65,52334.72,13,Refrigerated,7/4/2019,7/17/2019,597,67.5,40297.5,Maharashtra,Wholesale,176,97.77,118.32,SAFE,YES
Bihar,403.55,85,Small,5/26/2020,3,Cheese,Britannia Industries,655.72,14.42,9455.48,26,Refrigerated,5/5/2020,5/31/2020,329,11.6,3816.4,Kerala,Online,326,27.59,90.87,SAFE,YES
Maharashtra,858.57,30,Large,9/5/2019,1,Milk,Mother Dairy,909.03,84.61,76913.03,30,Tetra Pack,9/3/2019,10/3/2019,443,85.52,37885.36,Bihar,Wholesale,466,61.92,80.24,SAFE,YES
West Bengal,390.31,54,Small,9/2/2021,3,Cheese,Britannia Industries,829.91,28.02,23254.08,55,Frozen,"July 26, 2021",19/09/2021,757,32.36,24496.52,Maharashtra,Retail,72,84.27,70.29,IN DANGER,YES
Delhi,864.46,30,Large,3/22/2020,6,Curd,Mother Dairy,224.6,95.23,21388.66,6,Refridgerated,2/10/2020,2/16/2020,19,91.61,1740.59,Tamil Nadu,Online,205,15.95,82.19,SAFE,NO
Telangana,735.46,56,Small,2/7/2020,9,Paneer,,-277.21,66.37,18398.43,11,Refrigerated,2/4/2020,2/15/2020,267,70.91,18932.97,West Bengal,Retail,10,65.1,107.02,IN DANGER,YES
Kerala,208.65,16,Small,11/21/2019,7,Lassi,Mother Dairy,757.12,15.81,11970.07,15,REFRIGERATED,10/20/2019,11/4/2019,177,12.38,2191.26,Chandigarh,Wholesale,580,19.44,74.84,SAFE,NO
Haryana,546.54,33,Medium,1/11/2019,1,Milk,Amul,842.01,,40980.63,23,Tetra Pack,12/7/2018,12/30/2018,668,47.24,31556.32,Chandigarh,Retail,174,40.56,121.29,SAFE,NO
Chandigarh,413.06,46,Large,6/28/2020,10,Ghee,amul,834.79,69.97,58410.26,69,Ambient,10-06-2020,8/18/2020,597,72.13,43061.61,Tamil Nadu,Wholesale,237,20.13,163.29,SAFE,YES
  Uttar Pradesh  ,683.46,53,Medium,4/25/2019,10,Ghee,Sudha,423.59,11.53,4883.99,150,Ambient,4/1/2019,8/29/2019,118,15.52,1831.36,Telangana,Retail,305,52.32,122.58,SAFE,YES
Jharkhand,804.26,50,Small,6/17/2019,2,Butter,Mother Dairy,502.18,49.58,24898.08,38,,6/15/2019,7/23/2019,36,51.33,1847.88,Chandigarh,Online,466,45.49,148.01,SAFE,YES
Chandigarh,61.53,35,Small,7/24/2019,9,Paneer,Mother Dairy,202.2,75.07,15179.15,13,REFRIGERATED,6/4/2019,6/17/2019,91,70.81,6443.71,Karnataka,Retail,111,12.2,35.18,SAFE,NO
Jharkhand,930.44,25,Large,12/10/2022,7,Lassi,Sudha,741.95,84.28,62531.55,13,Refrigerated,12/9/2022,12/22/2022,251,89.27,22406.77,Uttar Pradesh,Wholesale,490,72.39,146.73,SAFE,YES
Rajasthan,652.46,85,Medium,5/5/2020,7,Lassi,Sudha,356.66,28.8,10271.81,18,Refrigerated,"May 04, 2020",5/22/2020,32,28.92,925.44,Telangana,Retail,324,85.77,186.02,SAFE,YES
Chandigarh,470.5,17,Small,8/15/2021,1,Milk,Raj,247.12,35.67,8814.77,25,Tetra Pack,7/25/2021,8/19/2021,204,34.58,7054.32,Kerala,Online,43,56.69,89.35,IN DANGER,YES
Chandigarh,529.28,13,Large,6/13/2019,9,Paneer,Raj,487.52,62.35,30396.87,7,Refrigerated,6/9/2019,6/16/2019,297,66.67,19800.99,Delhi,Wholesale,190,82.44,110.18,SAFE,YES
Delhi,737.53,76,Medium,5/8/2022,9,Paneer,Sudha ,607.04,55.17,33490.4,14,Refrigerated,4/7/2022,4/21/2022,367,50.53,18544.51,Delhi,Retail,240,50.72,188.17,SAFE,NO
Madhya Pradesh,225.74,79,Medium,3/19/2021,4,Yogurt,Dodla Dairy,70.27,35.14,2469.29,24,Refrigerated,23/02/2021,3/19/2021,38,37.2,1413.6,Bihar,Retail,32,43.18,170.33,IN DANGER,YES
Rajasthan,838.28,68,Medium,11/8/2019,2,Butter,Amul,776.61,89.92,69832.77,27,Refrigerated,10/12/2019,11/8/2019,723,86.16,62293.68,Jharkhand,Wholesale,53,43.77,163.23,SAFE,YES
Gujarat,111.43,76,Large,5/10/2019,9,Paneer,Mother Dairy,614.13,32.9,20204.88,13,,5/4/2019,5/17/2019,153,32.96,5042.88,Maharashtra,Retail,461,33.1,173.23,SAFE,YES
Madhya Pradesh,637.37,32,Large,11/23/2019,3,Cheese,Dynamix Dairies,247.81,30.91,7659.81,38,Frozen,11/17/2019,12/25/2019,107,35.52,3800.64,Kerala,Wholesale,140,44.02,158.88,SAFE,YES
Madhya Pradesh,792.38,85,Medium,7/24/2020,2,Butter,Mother Dairy,30.64,61.14,1873.33,27,Refridgerated,7/21/2020,8/17/2020,18,56.29,1013.22,Rajasthan,Wholesale,12,82.35,159.37,IN DANGER,YES
Jharkhand,876.97,34,Large,12/16/2021,1,Milk,Mother Dairy,601.93,33.02,19875.73,2,,11/30/2021,12/2/2021,386,31.53,12170.58,Chandigarh,Online,215,16.4,40.17,SAFE,NO
Tamil Nadu,977.86,46,Medium,9/22/2021,4,Yogurt,Amul,469.32,31.56,14811.74,23,Frozen,9/17/2021,10/10/2021,192,35.18,6754.56,Maharashtra,Online,277,38.25,61.67,SAFE,YES
  Haryana  ,837.04,21,Medium,5/28/2022,8,Buttermilk,Amul,419.23,72.24,30285.18,13,refrigerated,5/7/2022,"May 20, 2022",176,71.71,12620.96,Maharashtra,Online,243,42.53,82.2,SAFE,NO
Tamil Nadu,862.12,91,Small,5/25/2020,10,Ghee,Raj,886.48,53.46,47391.22,61,Ambient,3/30/2020,5/30/2020,192,56.15,10780.8,Maharashtra,Retail,694,96.37,188.55,SAFE,YES
West Bengal,892.71,81,Large,10/25/2021,5,Ice Cream,Mother Dairy,928.57,49.56,46019.93,28,Frozen,10/11/2021,08-11-2021,778,53.39,41537.42,Delhi,Retail,150,92.41,83.7,SAFE,YES
Tamil Nadu,358.09,59,Large,6/14/2022,2,Butter,Warana,686.59,90.54,62163.86,34,Refrigerated,6/6/2022,7/10/2022,166,94.52,15690.32,Maharashtra,Online,520,65.03,166.89,SAFE,YES
Gujarat,965.65,11,Small,7/20/2019,3,Cheese,Dynamix Dairies,34.5,91.1,3142.95,27,Frozen,7/16/2019,8/12/2019,14,88.63,1240.82,Delhi,Retail,20,15.37,137.63,SAFE,YES
Chandigarh,176.93,37,Small,2/26/2019,6,Curd,,127.22,56.68,7210.83,7,Refrigerated,1/17/2019,1/24/2019,55,52.47,2885.85,Rajasthan,Retail,72,39.64,73.4,SAFE,NO
West Bengal,424.58,67,Large,11/15/2020,8,Buttermilk,Sudha,419.67,24.6,10323.88,12,Refrigerated,10/17/2020,"October 29, 2020",86,27.42,2358.12,Rajasthan,Retail,333,55.37,78.69,SAFE,NO
Telangana,390.48,97,Large,7/14/2019,3,Cheese,Dynamix Dairies,373.35,14.08,5256.77,44,Refrigerated,6/12/2019,7/26/2019,229,13.35,3057.15,Delhi,Wholesale,144,25.01,171.47,SAFE,YES
Haryana,23.24,31,Large,10/18/2022,7,Lassi,,763.48,12.08,9222.84,18,Refrigerated,9/23/2022,10/11/2022,565,11.53,6514.45,Delhi,Retail,198,46.62,63.38,SAFE,NO
Gujarat,113.01,98,Medium,7/17/2020,5,Ice Cream,Dodla Dairy,909.73,12.78,11626.35,28,Frozen,5/22/2020,6/19/2020,424,8.13,3447.12,Uttar Pradesh,Wholesale,485,40.35,126.79,SAFE,NO
Delhi,901.6,93,Small,6/14/2020,5,Ice Cream,Dodla Dairy,848.03,92.97,78841.35,30,Frozen,6/11/2020,7/11/2020,441,90.81,40047.21,Bihar,Retail,407,87.6,107.27,SAFE,YES
Bihar,417.91,26,Medium,5/1/2019,2,Butter,Amul,281.3,11.45,3220.89,31,refrigerated,3/6/2019,4/6/2019,135,16.23,2191.05,Bihar,Online,146,65.01,22.34,SAFE,NO
Maharashtra,327.17,99,Large,8/25/2022,8,Buttermilk, amul,828.27,75.92,62882.26,13,refrigerated,23/07/2022,8/5/2022,634,79.85,50624.9,West Bengal,Retail,194,86.37,23.71,SAFE,NO
Jharkhand,221.6,87,Medium,2/12/2022,3,Cheese,Dynamix Dairies,282.43,14.78,4174.32,57,Frozen,1/24/2022,3/22/2022,80,11.33,906.4,Delhi,Retail,202,41.28,95.17,SAFE,YES
Chandigarh,61.82,99,Medium,7/25/2020,8,Buttermilk,Amul,940.62,22.1,20787.7,11,Refrigerated,7/5/2020,7/16/2020,906,24.66,22341.96,Rajasthan,Wholesale,34,67.06,70.24,IN DANGER,NO
Delhi,644.81,77,Small,11/14/2020,9,Paneer,Mother Dairy,307.33,56.54,17376.44,7,Refrigerated,9/26/2020,10/3/2020,7,57.31,401.17,Tamil Nadu,Retail,300,23.62,23.93,SAFE,NO
Rajasthan,787.87,57,Small,6/23/2019,6,Curd,Raj,298.76,41.38,12362.69,6,REFRIGERATED,5/20/2019,5/26/2019,216,43.11,9311.76,Delhi,Wholesale,82,30.78,95.37,SAFE,NO
Maharashtra,409.47,52,Small,1/5/2020,9,Paneer,Amul,245.72,97.56,23972.44,8,Refrigerated,11/8/2019,11/16/2019,5,93.59,467.95,Gujarat,Retail,240,48.17,183.95,SAFE,NO
Maharashtra,858.3,25,Small,8/5/2020,9,Paneer,Mother Dairy,45.09,27.05,1219.68,14,Refrigerated,6/13/2020,6/27/2020,39,28.93,1128.27,West Bengal,Retail,6,17.05,130.02,IN DANGER,NO
  Telangana  ,471.64,34,Small,4/11/2022,7,Lassi,Mother Dairy,186.92,96.13,17968.62,12,Refrigerated,2/17/2022,3/1/2022,45,98.16,4417.2,Chandigarh,Online,141,14.4,141.46,SAFE,NO
Madhya Pradesh,274.38,49,Medium,1/3/2022,6,Curd,Mother dairy,328.37,84.12,27622.48,6,Refridgerated,12/1/2021,12/7/2021,95,84.25,8003.75,Jharkhand,Retail,233,19.87,83.15,SAFE,NO
Jharkhand,14.99,58,Medium,5/14/2019,1,Milk,Sudha,475.09,98.87,46972.15,29,Tetra Pack,5/11/2019,6/9/2019,272,102.79,27958.88,Maharashtra,Online,203,50.18,21.39,SAFE,YES
Tamil Nadu,882.37,75,Large,7/23/2019,1,Milk,,723.83,28.75,20810.11,2,Polythene Packet,5/26/2019,5/28/2019,191,25.47,4864.77,Jharkhand,Wholesale,532,31.38,41.66,SAFE,NO
